corpus,path,family,dialect_used,status,error,total_steps,fwd_steps,uncall_steps,time_ratio,max_live_vars,max_live_bits,live_init,live_final,transient_peak,log2_T,k_space,k_time,call_depth_max,local_var_max,n_calls,n_uncalls,peak_step,peak_fraction,wall_seconds,catalog_status
reversible-algorithms,linear_search/sentinel1.j,linear_search,jana2014,ok,,56,32,24,1.75,8,48,1,4,4,5.807,0.689,0.807,2,4,2,1,30,0.5357,0.005,reversible
reversible-algorithms,linear_search/sentinel2.j,linear_search,jana2014,ok,,91,49,42,1.8571,7,54,1,4,3,6.508,0.461,0.893,1,4,1,1,47,0.5165,0.007,reversible
reversible-algorithms,linear_search/sentinel3.j,linear_search,jana2014,ok,,143,86,57,1.6628,7,36,0,3,4,7.16,0.559,0.734,2,5,2,1,83,0.5804,0.009,reversible
reversible-algorithms,linear_search/sentinel4.j,linear_search,jana2014,ok,,214,121,93,1.7686,7,42,0,3,4,7.741,0.517,0.823,1,5,1,1,119,0.5561,0.008,reversible
reversible-algorithms,linear_search/sentinel5.j,linear_search,jana2014,ok,,222,125,97,1.776,6,41,0,3,3,7.794,0.385,0.829,1,5,1,1,179,0.8063,0.009,reversible
reversible-algorithms,minheap/minheap_GPC2018.j,minheap,jana2014,ok,,40,37,3,1.0811,9,35,5,6,3,5.322,0.564,0.112,2,4,4,3,4,0.1,0.007,reversible
reversible-algorithms,minheap/minheap_Nohr2015.j,minheap,jana2014,ok,,472,437,35,1.0801,27,309,2,24,3,8.883,0.338,0.111,5,10,63,35,438,0.928,0.053,reversible
reversible-algorithms,minheap/minheap_Nohr2015_w_macro.j,minheap,jana2014,error,line 49: Expecting identifier,,,,,,,,,,,,,,,,,,,0.004,by_design
reversible-algorithms,minheap/minheap_subset.j,minheap,jana2014,ok,,469,434,35,1.0806,27,225,0,24,3,8.873,0.338,0.112,5,10,63,35,435,0.9275,0.045,reversible
reversible-algorithms,msort/code/msort.j,msort,jana2014,ok,,335,335,0,1.0,13,103,3,3,10,8.388,1.192,0.0,5,7,23,0,227,0.6776,0.025,reversible
reversible-algorithms,msort/msort1.j,msort,jana2014,ok,,773,396,377,1.952,12,74,0,3,9,9.594,0.938,0.965,4,9,22,22,509,0.6585,0.033,reversible
reversible-algorithms,msort/msort2.j,msort,jana2014,ok,,505,505,0,1.0,13,56,0,3,10,8.98,1.114,0.0,4,11,22,0,86,0.1703,0.039,reversible
reversible-algorithms,mst/prim.j,mst,jana2014,ok,,462,340,122,1.3588,16,179,0,9,7,8.852,0.791,0.442,3,7,11,5,321,0.6948,0.03,reversible
reversible-algorithms,numeric/ext_gcd.j,numeric,jana2014,ok,,46,46,0,1.0,8,34,0,6,2,5.524,0.362,0.0,1,1,1,0,15,0.3261,0.003,reversible
reversible-algorithms,numeric/gcd.j,numeric,jana2014,ok,,16,16,0,1.0,3,12,0,3,0,4.0,0.0,0.0,1,1,1,0,4,0.25,0.002,reversible
reversible-algorithms,numeric/modexp.j,numeric,jana2014,ok,,67,67,0,1.0,9,77,0,6,3,6.066,0.495,0.0,1,2,1,0,18,0.2687,0.003,reversible
reversible-algorithms,others/code/decfac2rank.j,others,jana2014,ok,,36,2,34,18.0,6,18,1,2,4,5.17,0.774,4.17,2,3,1,1,6,0.1667,0.004,reversible
reversible-algorithms,others/code/factorial.j,others,jana2014,ok,,20,20,0,1.0,4,18,0,2,2,4.322,0.463,0.0,1,2,1,0,4,0.2,0.002,reversible
