path,family,dialect_used,total_steps,fwd_steps,time_ratio,n_calls,n_uncalls,call_depth_max,sem_uncompute_steps_loose,time_ratio_sem_loose,n_partial,sem_uncompute_steps,sem_fwd_steps,time_ratio_sem,k_time_sem,n_paired,n_paired_same_dir,n_paired_calls,n_unpaired_uncalls,class_syntactic,class_semantic,class_semantic_loose
numeric/ext_gcd.j,numeric,jana2014,46,46,1.0,1,0,1,0,1.0,0,0,46,1.0,0.0,0,0,0,0,A1,A1,A1
numeric/gcd.j,numeric,jana2014,16,16,1.0,1,0,1,0,1.0,0,0,16,1.0,0.0,0,0,0,0,A1,A1,A1
numeric/modexp.j,numeric,jana2014,67,67,1.0,1,0,1,0,1.0,0,0,67,1.0,0.0,0,0,0,0,A1,A1,A1
others/stackPermut.j,others,jana2014,752,752,1.0,64,0,9,0,1.0,0,0,752,1.0,0.0,0,0,0,0,A1,A1,A1
others/code/decfac2rank.j,others,jana2014,36,2,18.0,1,1,2,0,1.0,0,0,36,1.0,0.0,0,0,0,1,E,A1,A1
others/code/factorial.j,others,jana2014,20,20,1.0,1,0,1,0,1.0,0,0,20,1.0,0.0,0,0,0,0,A1,A1,A1
others/code/lisort.j,others,jana2014,114,79,1.443,1,5,2,0,1.0,0,0,114,1.0,0.0,0,0,0,5,B,A1,A1
others/examples/binarytree2e.j,others,jana2014,379,283,1.3392,51,24,4,64,1.2032,8,32,347,1.0922,0.127,8,0,0,8,B,B,B
others/examples/breadth_first_search.j,others,jana2014,1279,570,2.2439,100,81,5,688,2.1641,59,467,812,1.5751,0.655,13,0,2,42,D,B,D
others/examples/buildTree.j,others,jana2014,87,87,1.0,1,0,1,0,1.0,0,0,87,1.0,0.0,0,0,0,0,A1,A1,A1
others/examples/combination.j,others,jana2014,21,21,1.0,1,0,1,0,1.0,0,0,21,1.0,0.0,0,0,0,0,A1,A1,A1
others/examples/counting_sort.j,others,jana2014,67,67,1.0,1,0,1,0,1.0,0,0,67,1.0,0.0,0,0,0,0,A1,A1,A1
others/examples/fact.j,others,jana2014,283,39,7.2564,32,31,6,249,8.3235,0,249,34,8.3235,3.057,31,0,0,0,D,D,D
others/examples/factorization.j,others,jana2014,231,231,1.0,6,0,2,0,1.0,0,0,231,1.0,0.0,0,0,0,0,A1,A1,A1
others/examples/genParentheses.j,others,jana2014,202,202,1.0,22,0,7,0,1.0,0,0,202,1.0,0.0,0,0,0,0,A1,A1,A1
others/examples/genSuc.j,others,jana2014,64,64,1.0,2,0,1,0,1.0,0,0,64,1.0,0.0,0,0,0,0,A1,A1,A1
others/examples/invtab2rank.j,others,jana2014,90,60,1.5,1,1,2,0,1.0,0,0,90,1.0,0.0,0,0,0,1,B,A1,A1
others/examples/linkedlist5e.j,others,jana2014,307,186,1.6505,35,27,3,107,1.535,13,8,299,1.0268,0.038,2,0,0,14,C,B,B
