n,schedule,family,step,moves,pebbles,state_size,temps,time,time_pred,baseline_time,time_ratio,peak_space,declared_space,space_pred,output_ok
64,optimal(s=58),optimal,step_tri.srl,139,58,1,2,2334,2334,1068,2.1854,61,61,61,True
64,optimal(s=59),optimal,step_fib.srl,137,59,2,0,411,411,192,2.1406,119,120,120,True
64,optimal(s=59),optimal,step_lcg.srl,137,59,1,0,137,137,64,2.1406,59,60,60,True
64,optimal(s=59),optimal,step_tri.srl,137,59,1,2,2298,2298,1068,2.1517,62,62,62,True
64,optimal(s=60),optimal,step_fib.srl,135,60,2,0,405,405,192,2.1094,121,122,122,True
64,optimal(s=60),optimal,step_lcg.srl,135,60,1,0,135,135,64,2.1094,60,61,61,True
64,optimal(s=60),optimal,step_tri.srl,135,60,1,2,2262,2262,1068,2.118,63,63,63,True
64,optimal(s=61),optimal,step_fib.srl,133,61,2,0,399,399,192,2.0781,123,124,124,True
64,optimal(s=61),optimal,step_lcg.srl,133,61,1,0,133,133,64,2.0781,61,62,62,True
64,optimal(s=61),optimal,step_tri.srl,133,61,1,2,2226,2226,1068,2.0843,64,64,64,True
64,optimal(s=62),optimal,step_fib.srl,131,62,2,0,393,393,192,2.0469,125,126,126,True
64,optimal(s=62),optimal,step_lcg.srl,131,62,1,0,131,131,64,2.0469,62,63,63,True
64,optimal(s=62),optimal,step_tri.srl,131,62,1,2,2190,2190,1068,2.0506,65,65,65,True
64,optimal(s=63),optimal,step_fib.srl,129,63,2,0,387,387,192,2.0156,127,128,128,True
64,optimal(s=63),optimal,step_lcg.srl,129,63,1,0,129,129,64,2.0156,63,64,64,True
64,optimal(s=63),optimal,step_tri.srl,129,63,1,2,2154,2154,1068,2.0169,66,66,66,True
64,optimal(s=64),optimal,step_fib.srl,127,64,2,0,381,381,192,1.9844,129,130,130,True
64,optimal(s=64),optimal,step_lcg.srl,127,64,1,0,127,127,64,1.9844,64,65,65,True
64,optimal(s=64),optimal,step_tri.srl,127,64,1,2,2118,2118,1068,1.9831,67,67,67,True
256,linear,linear,step_fib.srl,511,256,2,0,1533,1533,768,1.9961,513,514,514,True
256,linear,linear,step_lcg.srl,511,256,1,0,511,511,256,1.9961,253,257,257,True
256,linear,linear,step_tri.srl,511,256,1,2,9030,9030,4524,1.996,259,259,259,True
256,"bennett(k=8,m=2)",bennett,step_fib.srl,6561,9,2,0,19683,19683,768,25.6289,19,20,20,True
256,"bennett(k=8,m=2)",bennett,step_lcg.srl,6561,9,1,0,6561,6561,256,25.6289,10,10,10,True
256,"bennett(k=8,m=2)",bennett,step_tri.srl,6561,9,1,2,108498,108498,4524,23.9828,12,12,12,True
